{\rtf1\ansi\ansicpg1252\cocoartf2867
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\partightenfactor0

\f0\fs24 \cf0 Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
40,866,66,2023-03-07,GSW,@,OKC,L 128-137,*,35:28,14,23,.609,10,16,.625,4,7,.571,.826,2,2,1.000,1,5,6,7,0,0,6,4,40,29.0,-2\
41,867,67,2023-03-09,GSW,@,MEM,L 110-131,*,34:24,10,19,.526,4,8,.500,6,11,.545,.632,5,6,.833,3,4,7,4,1,0,4,3,29,21.2,2\
42,868,68,2023-03-11,GSW,,MIL,W 125-116 (OT),*,43:24,13,27,.481,6,15,.400,7,12,.583,.593,4,4,1.000,1,5,6,4,2,1,5,1,36,24.6,10\
43,869,69,2023-03-13,GSW,,PHO,W 123-112,*,33:28,7,13,.538,4,6,.667,3,7,.429,.692,5,6,.833,2,5,7,5,0,0,5,4,23,16.1,14\
44,870,70,2023-03-15,GSW,@,LAC,L 126-134,*,38:32,20,28,.714,8,14,.571,12,14,.857,.857,2,4,.500,0,2,2,6,2,0,2,1,50,42.0,-11\
45,871,71,2023-03-17,GSW,@,ATL,L 119-127,*,37:18,12,27,.444,4,13,.308,8,14,.571,.519,3,3,1.000,2,4,6,5,0,0,6,2,31,16.2,-1\
46,872,72,2023-03-18,GSW,@,MEM,L 119-133,*,30:03,5,15,.333,3,8,.375,2,7,.286,.433,3,4,.750,1,7,8,5,0,0,1,1,16,12.0,-10\
47,873,73,2023-03-20,GSW,@,HOU,W 121-108,*,36:06,10,23,.435,5,15,.333,5,8,.625,.543,5,5,1.000,1,6,7,5,2,1,4,3,30,21.4,5\
48,874,74,2023-03-22,GSW,@,DAL,W 127-125,*,34:42,9,18,.500,2,8,.250,7,10,.700,.556,0,0,,1,4,5,13,0,0,3,2,20,18.2,10\
49,875,75,2023-03-24,GSW,,PHI,W 120-112,*,38:26,10,18,.556,2,7,.286,8,11,.727,.611,7,8,.875,0,8,8,3,0,0,2,2,29,21.7,20\
50,876,76,2023-03-26,GSW,,MIN,L 96-99,*,36:12,8,23,.348,4,13,.308,4,10,.400,.435,0,0,,0,6,6,9,1,0,3,3,20,12.0,2\
51,877,77,2023-03-28,GSW,,NOP,W 120-109,*,36:57,14,25,.560,8,15,.533,6,10,.600,.720,3,4,.750,2,6,8,8,3,0,4,0,39,34.5,12\
52,878,78,2023-03-31,GSW,,SAS,W 130-115,*,32:43,11,21,.524,7,11,.636,4,10,.400,.690,4,4,1.000,1,1,2,5,0,0,1,1,33,25.8,-3\
53,879,79,2023-04-02,GSW,@,DEN,L 110-112,*,36:53,8,28,.286,2,14,.143,6,14,.429,.321,3,3,1.000,1,2,3,4,0,2,3,1,21,6.7,-5\
54,880,80,2023-04-04,GSW,,OKC,W 136-125,*,36:46,11,25,.440,6,13,.462,5,12,.417,.560,6,6,1.000,0,5,5,6,1,0,0,3,34,26.4,14\
55,881,81,2023-04-07,GSW,@,SAC,W 119-97,*,32:41,8,14,.571,3,7,.429,5,7,.714,.679,6,7,.857,1,6,7,6,2,1,5,1,25,22.0,33\
56,882,82,2023-04-09,GSW,@,POR,W 157-101,*,22:27,9,15,.600,5,10,.500,4,5,.800,.767,3,3,1.000,0,5,5,7,0,0,1,0,26,24.5,26\
,,,,,,,30-26,56,1942,559,1133,.493,273,639,.427,286,494,.579,.614,257,281,.915,39,302,341,352,52,20,179,117,1648,22.7,268\
}
